,IDs,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled,PAINS_match,Brenk_match
122,CHEMBL5084997,0.3,nM,Cn1cc(Nc2nccc(-c3ccc4c(c3)CCCCC4NC(=O)c3nc(C(C)(C)C)no3)n2)cn1,9.522878745,486.2491722000001,9,2,4.498700000000003,True,0,0.0
126,CHEMBL4878102,0.3,nM,CC(C)(C)c1noc(C(=O)NCc2ccc(-c3ccnc4[nH]c(-c5cnn(CCN6CCOCC6)c5)nc34)cc2F)n1,9.522878745,573.261214104,10,2,3.5702000000000016,True,0,0.0
128,CHEMBL4110169,0.3,nM,Nc1nccn2c([C@@H]3CC[C@H]4COCCN4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.522878745,537.210007732,8,2,4.222800000000003,True,0,0.0
129,CHEMBL4112027,0.31,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)F)ccn4)cc3)c12,9.508638306,517.20377948,7,2,4.431800000000004,True,0,0.0
130,CHEMBL4746292,0.31,nM,COC[C@H]1CC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)CN1C(=O)C1(C)COC1,9.508638306,623.2467871640001,9,2,4.402100000000003,True,0,0.0
131,CHEMBL4756290,0.32,nM,C[C@H]1CC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)CN1C(=O)C(C)(C)O,9.494850022,599.2268006680001,8,3,4.649100000000004,True,0,0.0
132,CHEMBL4799627,0.32,nM,CC1(C(=O)N2CCC[C@@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4F)c4c(N)nccn34)C2)COC1,9.494850022,597.2111506040001,8,2,4.526200000000002,True,0,0.0
135,CHEMBL3916236,0.33,nM,Cn1ncc2c1CCC[C@@]2(O)c1nc(-c2ccc(C(=O)Nc3cc(C(F)(F)F)ccn3)cc2)c2c(N)nccn12,9.48148606,548.189606636,9,3,3.950300000000001,True,0,0.0
141,CHEMBL3984475,0.34,nM,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)cc2c(Cl)cccn2c1=O,9.468521083,574.1783112759999,6,3,4.674320000000003,True,0,0.0
142,CHEMBL4106893,0.34,nM,Nc1ncc(F)n2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c12,9.468521083,571.1755140440001,7,2,4.791200000000004,True,0,0.0
144,CHEMBL3652655,0.36,nM,CC(C)(C)c1cc(F)c2c(=O)n(-c3cccc(-n4cc(C(N)=O)c(Nc5ccccn5)n4)c3CO)ncc2c1,9.443697499,527.208115912,9,3,3.737800000000001,True,0,0.0
145,CHEMBL4761778,0.36,nM,COCCC(=O)N1C[C@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)CC[C@@H]1C,9.443697499,599.2268006680001,8,2,4.914700000000003,True,0,0.0
147,CHEMBL4744308,0.37,nM,CC1(C(=O)N2CCC[C@@H](c3nc(-c4ccc(C(=O)Nc5cc(C#N)ccn5)cc4F)c4c(N)nccn34)C2)COC1,9.431798276,554.219014944,9,2,3.379080000000002,True,0,0.0
150,CHEMBL4756476,0.39,nM,O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@@H]3CC[C@@H](CO)OC3)c12,9.408935393,478.1407828960001,7,3,4.586400000000005,True,0,0.0
153,CHEMBL3652682,0.39,nM,CN(C)Cc1ccc(Nc2nn(-c3cccc(-n4ncc5cc(C(C)(C)C)ccc5c4=O)c3CO)cc2C(N)=O)nc1,9.408935393,566.275386948,10,3,3.660300000000001,True,0,0.0
154,CHEMBL3903010,0.39,nM,C[C@@H]1OC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C6CC6)ccn5)cc4F)c4c(N)nccn34)CC[C@@H]12,9.408935393,541.2237659760001,8,2,4.729000000000003,True,0,0.0
155,CHEMBL4796367,0.4,nM,Cc1cc(-c2ccnc(Nc3cnn(C)c3)n2)ccc1CNC(=O)N1CC(CC(C)C)C1,9.397940009,433.259008612,6,2,4.116620000000003,True,0,0.0
158,CHEMBL5192152,0.4,nM,CC(C)(C)CN1CCN(Cc2ccc(-c3ccnc(Nc4cnn(CCO)c4)n3)cc2C(F)(F)F)C(=O)C1,9.397940009,531.2569579240001,8,2,3.7851000000000026,True,0,0.0
160,CHEMBL4850235,0.4,nM,Cn1cc(-c2nc3c(-c4ccc(CNC(=O)c5nc(C(C)(C)C)no5)c(F)c4)ccnc3[nH]2)cn1,9.397940009,474.1928001960001,8,2,3.775000000000002,True,0,0.0
162,CHEMBL4865369,0.4,nM,Cn1cc(-c2nc3c(-c4ccc(CNC(=O)c5nc(C6(C)CC6)no5)c(F)c4)ccnc3[nH]2)cn1,9.397940009,472.1771501320001,8,2,3.5290000000000017,True,0,0.0
163,CHEMBL4849220,0.4,nM,Cn1cc(-c2nc3c(-c4ccc(CNC(=O)c5noc(C(C)(C)C)n5)c(F)c4)ccnc3[nH]2)cn1,9.397940009,474.1928001960001,8,2,3.775000000000001,True,0,0.0
165,CHEMBL4746275,0.4,nM,Cc1cc(-c2ccnc(Nc3ccncc3)n2)ccc1CNC(=O)c1cnc(C(C)(C)C)s1,9.397940009,458.188880452,7,2,5.274620000000003,True,0,0.0
167,CHEMBL281957,0.4,nM,CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C,9.397940009,483.15926584400006,6,2,6.540920000000006,True,0,0.0
171,CHEMBL4089318,0.4,nM,Nc1nccn2c(C34CC(C(=O)O)(C3)C4)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.397940009,508.1470731280001,7,3,4.150900000000002,True,0,0.0
172,CHEMBL5090290,0.4,nM,CC(C)OC1CN(C(=O)N[C@@H]2CCCCc3cc(-c4ccnc(Nc5cnn(C)c5)n4)ccc32)C1,9.397940009,475.26957329600015,7,2,4.207000000000003,True,0,0.0
