,IDs,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
2504,CHEMBL3897152,300.0,nM,C=CC(=O)N1CCc2[nH]c3c(C(N)=O)c(-c4ccc(OCC5CC5)cc4)nn3c2C1,6.522878745,405.1800895960001,5,2,2.2878000000000007,True
2505,CHEMBL4746262,303.0,nM,C=CC(=O)N1CC(O)(c2c[nH]c3ncnc(-c4cc(F)cc(NC(=O)c5ccc(C6CC6)cc5)c4C)c23)C1,6.518557371,511.201967912,5,3,4.417920000000003,True
2506,CHEMBL3290119,304.0,nM,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(Nc2cccc(C(F)(F)F)c2)nc1,6.517126416,559.144294168,5,3,7.070820000000005,False
2507,CHEMBL3402354,305.0,nM,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1cn(C)c(=O)c(Nc2ccc(C(=O)NCCOCCOCCNC(=S)Nc3ccc(-c4c5ccc(=O)cc-5oc5cc(O)ccc45)c(C(=O)O)c3)cc2)n1,6.515700161,1029.3731119600002,13,7,9.080720000000003,False
2508,CHEMBL3622197,308.0,nM,NC(=O)c1cc(-c2ccc(Cl)cc2)cc2c1[nH]c1ccc(C(=O)N3CCOCC3)cc12,6.511449283,433.11931918,3,2,4.212800000000003,True
2509,CHEMBL4202546,309.0,nM,Nc1cc(-c2cccc(-n3ccc4cc(C5CC5)cc(F)c4c3=O)c2CO)nc(Nc2ccc(CN3CCOCC3)cc2)n1,6.510041521,592.259817136,9,3,5.114500000000004,False
2510,CHEMBL47940,310.0,nM,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,6.508638306,370.179361324,5,1,5.587900000000003,True
2511,CHEMBL3897084,310.0,nM,NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn2c3c([nH]c12)CCNC3,6.508638306,373.15387484800004,5,3,2.8663000000000007,True
2512,CHEMBL5207396,315.0,nM,C=CC(=O)N(C)CCOc1cnccc1-c1ccc(CN2CCN(C)CC2=O)c(C)c1,6.501689446,422.23179082,5,0,2.3542199999999998,True
2513,CHEMBL3785991,318.0,nM,C=CC(=O)Nc1cccc(-n2c(=O)n(C3CCOCC3)c3cnc(Nc4ccc(OC)nc4)nc32)c1,6.49757288,487.1968022800001,10,2,3.205400000000001,True
2514,CHEMBL5203627,318.9,nM,Cc1ccc(NC(=O)c2ccc3cc4ccccc4cc3c2)cc1C(=O)Nc1cnc(Nc2cccc(N)c2)nc1,6.496345481,538.2117240720002,6,4,6.921820000000005,False
2515,CHEMBL4646580,320.0,nM,Cn1cc(-c2ccnc(N3CCn4c(cc5c4CC(C)(C)C5)C3=O)c2CO)cc(NC(=O)[C@@H]2CCCO2)c1=O,6.494850022,531.2481691559999,8,2,2.6438000000000006,True
2516,CHEMBL3939090,320.0,nM,NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn2c1[nH]c1ccc([N+](=O)[O-])cc12,6.494850022,413.11240396,6,2,4.282000000000002,True
2517,CHEMBL3622196,327.0,nM,COc1ccc(-c2cc(C(N)=O)c3[nH]c4ccc(C(=O)N5CCOCC5)cc4c3c2)cc1,6.485452247,429.168856216,4,2,3.5680000000000023,True
2518,CHEMBL3983095,330.0,nM,NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn2c1NCCC21CCNCC1,6.48148606,403.20082504000004,6,3,3.3356000000000012,True
2519,CHEMBL4634889,331.0,nM,C=CC(=O)NCCOc1cc(Cc2c(OC)cccc2OC)cc2[nH]c(-c3n[nH]c4cc(C(F)F)ccc34)cc12,6.480172006,546.207861816,5,3,5.937800000000005,False
2520,CHEMBL4587485,333.0,nM,CC(C)(C)c1ccc(C(=O)Nc2cccc(-c3nc(Nc4ccc(C(=O)N5CCOCC5)cc4)c(C(N)=O)s3)c2)cc1,6.477555766,583.225325536,7,3,5.674800000000004,False
2521,CHEMBL3652669,333.06,nM,CC(C)(C)c1cc(F)c2c(=O)n(-c3cccc(-n4ccc(C(N)=O)n4)c3CO)ncc2c1,6.477477522,435.170667784,7,2,2.5992000000000006,True
2522,CHEMBL4064000,334.0,nM,COc1ccc(-c2n[nH]c(NCc3c(F)cccc3Cl)n2)cc1N,6.476253533,347.09491600000007,5,3,3.4671000000000003,True
2523,CHEMBL5177629,338.5,nM,Cc1ccc(NC(=O)CC23CC4CC(CC(C4)C2)C3)cc1C(=O)Nc1cnc(Nc2cccc(N)c2)nc1,6.470441327,510.2743243280001,6,4,5.908120000000004,False
2524,CHEMBL5188351,340.0,nM,O=C(CNc1ccccc1C(F)(F)F)NC1CCCN(c2ncnc3[nH]ccc23)C1,6.468521083,418.1728939520001,5,3,3.173800000000001,True
2525,CHEMBL3401279,340.0,nM,Cc1c(NC(=O)c2nc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccc(C(=O)N3CCOCC3)cc2)n1,6.468521083,584.220574504,9,2,4.559320000000003,True
2526,CHEMBL4632698,340.0,nM,CC#CC(=O)NCCOc1cccc2[nH]c(-c3n[nH]c4cc(C(F)F)ccc34)cc12,6.468521083,408.139782256,3,3,4.167100000000002,True
2527,CHEMBL3612990,342.6,nM,C=CC(=O)N1C=C(c2cnc(N)c3c(-c4ccc(Oc5ccccc5)cc4)csc23)CCC1,6.465212641,453.151097976,5,1,6.487100000000003,True
2528,CHEMBL4110727,347.5,nM,NC(=O)c1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc([C@@H]2CC[C@H]3CCC(=O)N3C2)n2ccnc(N)c12,6.459045191,578.2001713200001,8,3,3.611900000000001,True
2529,CHEMBL4871737,349.0,nM,CC#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,6.457174573,453.180089596,5,2,3.559800000000002,True
2530,CHEMBL4126986,349.0,nM,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(OCCN(C)C)cc4OC)nc32)c1,6.457174573,559.2543171560001,11,2,3.3404000000000016,False
2531,CHEMBL4204140,350.0,nM,Nc1nc(Nc2ccc(N3CCOCC3)cc2)nc(-c2cccc(N3CCc4cc(C5CC5)ccc4C3=O)c2CO)n1,6.455931956,563.264487916,9,3,4.2736000000000045,True
