,IDs,IC50,units,smiles,pIC50
97,CHEMBL4113994,0.26,nM,CN1CC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@H]2C1,9.585026652
98,CHEMBL3945408,0.26,nM,Cc1c(-c2c(Cl)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)[nH]c2c(F)cccc2c1=O,9.585026652
99,CHEMBL4114094,0.26,nM,Nc1nccn2c([C@H]3CN4C(=O)CC[C@@H]4CO3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.585026652
100,CHEMBL3899411,0.27,nM,Cc1c(-c2c(C#N)cc(C(N)=O)c3[nH]c4cc(C(C)(C)O)ccc4c23)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,9.568636236
101,CHEMBL4109533,0.27,nM,CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc([C@@H]2CC[C@H]3CCC(=O)N3C2)n2c(Cl)cnc(N)c12,9.568636236
102,CHEMBL4111825,0.27,nM,CCN1CC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@H]2C1,9.568636236
103,CHEMBL4114985,0.28,nM,COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc(F)c1-c1nc([C@@H]2CC[C@H]3CCC(=O)N3C2)n2ccnc(N)c12,9.552841969
104,CHEMBL4112426,0.28,nM,Nc1ncc(F)n2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.552841969
105,CHEMBL4111662,0.28,nM,COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc(F)c1-c1nc([C@@H]2CC[C@H]3CC(C)(C)C(=O)N3C2)n2ccnc(N)c12,9.552841969
106,CHEMBL3901061,0.28,nM,Nc1nccn2c([C@H]3CC[C@H]4CNCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.552841969
107,CHEMBL4798188,0.28,nM,CCC(=O)N1C[C@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)CC[C@@H]1C,9.552841969
108,CHEMBL4112832,0.29,nM,CC(C)N1CC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@H]2C1,9.537602002
109,CHEMBL3652660,0.29,nM,Cc1cc(Nc2nn(-c3cccc(-n4ncc5cc(C(C)(C)C)cc(F)c5c4=O)c3CO)cc2C(N)=O)nn1C,9.537602002
110,CHEMBL3652652,0.29,nM,CC(C)(C)c1cc(F)c2c(=O)n(-c3cccc(-n4cc(C(N)=O)c(Nc5ccc(Cl)cn5)n4)c3CO)ncc2c1,9.537602002
111,CHEMBL5200336,0.3,nM,Cc1cc(C(N)=O)c2[nH]c3cc(C(C)(C)O)ccc3c2c1-c1cccc(-n2c(=O)[nH]c3c(F)cccc3c2=O)c1O,9.522878745
112,CHEMBL4081452,0.3,nM,Cn1nnnc1[C@H]1CCC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1,9.522878745
113,CHEMBL5189379,0.3,nM,CN1CCN(C(C)(C)/C=C(\C#N)C(=O)N2CCC[C@@H](n3nc(-c4ccc(Oc5ccccc5)cc4F)c4c(N)ncnc43)C2)CC1,9.522878745
114,CHEMBL4215160,0.3,nM,Nc1cc(-c2cccc(-n3ccc4cc(C5CC5)cc(F)c4c3=O)c2CO)nc(Nc2cnn(CC3CC3)c2)n1,9.522878745
115,CHEMBL4100424,0.3,nM,Nc1nccn2c([C@@H]3CCC[C@H](c4nnc[nH]4)C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.522878745
116,CHEMBL4103954,0.3,nM,C[C@H]1CC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)CN1C(=O)C1CC1,9.522878745
117,CHEMBL4081444,0.3,nM,Nc1nccn2c1c(-c1ccc(C(=O)Nc3cc(C(F)(F)F)ccn3)cc1)nc2[C@]12CCC[C@](C(=O)O)(CC1)CC2,9.522878745
118,CHEMBL5083323,0.3,nM,Cn1cc(Nc2nccc(-c3ccc4c(c3)CCCCC4NC(=O)c3noc(C(C)(C)C)n3)n2)cn1,9.522878745
119,CHEMBL2057918,0.3,nM,CN1CCN(c2ccc(Nc3cc(-c4cccc(-n5ccc6cc(C7CC7)cc(F)c6c5=O)c4CO)cn(C)c3=O)nc2)CC1,9.522878745
120,CHEMBL3945518,0.3,nM,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4cc(C(C)(C)O)ccc4c23)cccc1-n1c(=O)[nH]c2cc(F)ccc2c1=O,9.522878745
